Gene	LK1	LK2	LK3	LK4	LK5	LK6
ADAM2	4.346516866	4.312810986000001	4.3282049119999995	4.301786096	4.381003579	4.342250257
ADAM20	4.411324686	4.318725253	4.39491136	4.296802295	4.478488489	4.25655304
ADAM20	4.352225804	4.324585155	4.278348964	4.370439942	4.416876869	4.376562696000001
ADAM21	4.38316565	4.300847796	4.489336436	4.2908468939999995	4.286694132	4.39491136
ADAM22	4.483975248	4.862288331	4.611045205	4.510853085	4.542985527	4.51589805
ADAM23	4.55137155	4.344108128999999	4.692501602	4.621596404	4.442228282	4.372679876
ADAM28	4.4091364319999995	4.448503454	4.535955587	4.6048399280000005	4.34540784	4.6410379410000004
ADAM29	4.438896958	4.455715946000001	4.420618253	4.485976139	4.515177428	4.426134423
ADAM30	4.606708176000001	4.611320696	4.450341703	4.736964598999999	4.515177428	4.4482490210000005
ADAM32	4.39491136	4.450544289	4.38302127	4.343822039	4.569941566000001	4.4482490210000005
ADAM33	4.553975912	4.569403536	4.7859130080000005	4.55166638	4.315942378	4.6296658310000005
ADAM7	4.304041824	4.412064346	4.2850798260000005	4.309475056	4.3417331589999995	4.368691659
ADAM8	4.70377418	4.663692095	4.547302845	4.849944087	4.74601487	4.674437305
ADAM9	6.02674162	6.05341421	6.08120207	6.731448468	6.218223792000001	6.597511804
ADAMDEC1	4.342677007	4.410052081	4.302732636	4.393871503	4.3524062830000005	4.5808932989999995
ADAMTS1	4.618165758	4.539955257	4.569403536	4.621596404	4.509227939	4.4639233439999995
ADAMTS10	5.599590227999999	5.285739146	5.226294267	5.731453837	5.636507272999999	5.1617761269999995
ADAMTS12	4.827553545	4.700937267	4.885742435	4.621596404	4.899774241	4.4482490210000005
ADAMTS13	5.221851752	5.238534158999999	5.205338241000001	5.120969135	5.034312609	5.497057184
ADAMTS14	4.384662948	4.372204481	4.4185628480000005	4.411659604	4.32870009	4.353303841000001
ADAMTS15	4.700002442	5.478631506	4.7298486760000005	4.6537921760000005	4.560682256000001	4.587714279
ADAMTS16	4.45822916	4.405883242	4.430077775	4.489600628	4.572873437	4.4964181519999995
ADAMTS17	4.595413693999999	4.488906128	4.532734218	4.577407609	4.509227939	4.3989320030000005
ADAMTS18	4.404980364	4.52039177	4.412064346	4.421955176	4.71990383	4.493223237
ADAMTS19	4.388890728	4.391212971	4.526547255	4.346559095	4.315942378	4.456019832
ADAMTS2	4.415566059	4.426398237	4.407503275	4.395437785	4.388890728	4.437986797
ADAMTS20	4.768336269	4.463707232	4.443160601000001	4.55166638	4.483285109	4.529986865
ADAMTS3	6.335858448	6.49153834	6.312980447999999	6.252846119	6.292727315	5.7518851820000005
ADAMTS4	4.357792404	4.399563011000001	4.32964341	4.372204481	4.437046498	4.510020003
ADAMTS6	4.595413693999999	4.749957457	4.540477309	4.886074697	4.611320696	4.656175675
ADAMTS7	4.83950983	4.481296314	4.494435714	4.8148497919999995	4.7972735	4.55813576
ADAMTS8	4.508744382	4.586606311000001	4.645453973	4.870562478	4.705379496	4.767667847
ADAMTS9	4.374777443	4.455715946000001	4.469059306	4.436889333	4.4278642889999995	4.51589805
ADAMTSL1	4.578223544	4.312810986000001	4.736964598999999	4.370439942	4.39076734	4.355120261000001
ADAMTSL2	4.422328793	4.629990174	4.287995046	4.49300124	4.373222227	4.435860753
ADAMTSL3	4.557341015	5.006137184	5.048980384	4.515339526	4.563600457	4.803010145
ADAMTSL4	4.450544289	4.746352161	4.5205060889999995	4.811236633	4.604012494	4.4964181519999995
ADAMTSL5	4.7185905539999995	4.595413693999999	4.951636702	4.894741178	5.255843453	4.466266082
ADAP1	7.3127047979999995	7.762611477	7.514098843999999	7.641428254	7.372222557000001	7.976881218
ADAP2	4.398758591	4.354676465	4.476680985	4.405157018	4.419121688	4.338434257
ADAR	8.14092109	8.791736595	8.531564839	9.143035445	8.254916171	9.386637524
ADARB1	5.368816058999999	5.31761025	5.157734806000001	5.4885495639999995	5.4482356670000005	5.294992302
ADARB2	4.404980364	4.478636903	4.416507003	4.425185138	4.485976139	4.542743308
ADAT1	6.902841764	6.631133874	6.848220637000001	6.180845735	6.500329892000001	6.228120753
ADCK1	7.962204077000001	8.085500962000001	8.103927872	7.870860123	8.002001288999999	7.992779946000001
ADCK2	4.618165758	4.466266082	4.547302845	4.705511638	4.4882389289999995	4.54866668
ADCK5	8.575496513	8.194208722	8.516640436	8.092389108999999	8.376582839	8.045379441
ADCY1	4.606708176000001	4.832850512	4.602071329	4.646943854	5.1024640219999995	4.368691659
ADCY10	4.260998464	4.422328793	4.4546663539999996	4.319806923	4.3524062830000005	4.367117273
ADCY2	4.450544289	4.814343613	4.846195979	4.38316565	4.660390896	4.533543976
ADCY3	4.878857205	4.614842801	4.929048721	4.806017086000001	5.015656934	4.8867993819999995
ADCY4	4.730336363	5.069916125	4.7298486760000005	5.312874966	4.645484881000001	4.510020003
ADCY5	4.502894523	4.466266082	4.368852606	4.3506582819999995	4.404980364	4.871425544
ADCY6	8.79037956	8.249079626	8.558202059	8.135159631	8.520967084	7.906271505
ADCY7	8.092389108999999	7.43230832	7.757870215	7.8184567	7.886796223999999	7.402134062000001
ADCY8	4.5849872860000005	4.326165059	4.363208844	4.321057885	4.38316565	4.443033245
ADCY9	6.128107184	5.857321112	6.2769223720000005	5.955885678	6.388970757	5.687961572000001
ADCYAP1	4.377054056	4.326165059	4.445855758	4.450544289	4.525761642	4.583884341
ADCYAP1R1	4.527541307	5.14873653	4.476680985	4.760403235	4.768336269	4.6048399280000005
ADD1	10.39779622	9.901176692	10.43655231	9.916596615	10.29333412	10.12680818
